target,model,fold,rmse,mae,r2
metric_flops,RandomForest,1,2.655083592029305,0.402683691320211,0.9939650794155707
metric_flops,RandomForest,2,3.345890825811836,0.5338982689273728,0.9894999823353974
metric_flops,RandomForest,3,2.6086989731941563,0.4124868427384231,0.9939785683865945
metric_flops,RandomForest,4,2.5800482567117076,0.4156273809768433,0.994470531517724
metric_flops,RandomForest,5,2.344330746788911,0.37307270332915965,0.9952985538487609
metric_flops,RandomForest,6,2.222915024972691,0.38612534910380947,0.9958906562291944
metric_flops,RandomForest,7,2.8455068964274104,0.4850209331840501,0.9930914680707474
metric_flops,RandomForest,8,2.3968799285866793,0.3914202504909202,0.9946501468428309
metric_flops,RandomForest,9,2.235781940828596,0.33017219660701086,0.9954255035657579
metric_flops,GradientBoosting,0,2.1231737272442888,0.6276156663662671,0.9960803525834867
metric_flops,GradientBoosting,1,2.1511904871497043,0.6059226283026196,0.9960383792371335
metric_flops,GradientBoosting,2,3.1933843743721435,0.7245095794743298,0.9904353542551385
metric_flops,GradientBoosting,3,2.4163009042772208,0.5880749834248798,0.9948340064844098
metric_flops,GradientBoosting,4,2.27440725108605,0.6155688563236337,0.9957030114990045
metric_flops,GradientBoosting,5,2.0112713493317003,0.5741664486512228,0.996539530439765
metric_flops,GradientBoosting,6,1.3647235635839603,0.5355329515578875,0.9984511258490745
metric_flops,GradientBoosting,7,2.949139699709921,0.6764126776666053,0.9925790898225801
metric_flops,GradientBoosting,8,2.2055678289794365,0.5916503709081292,0.9954700840794573
metric_flops,GradientBoosting,9,2.287333904377403,0.5596690256876297,0.9952121168750481
metric_flops,XGBoost,0,2.827680593901157,0.7836758434396696,0.9930475697188373
metric_flops,XGBoost,1,2.511108234069382,0.6735721542529242,0.9946018366042565
metric_flops,XGBoost,2,3.7853042449322727,0.8317436726624431,0.9865609651225767
metric_flops,XGBoost,3,2.345571128892342,0.6617583962005206,0.9951320171607368
metric_flops,XGBoost,4,2.72035807094701,0.6752146050784255,0.9938527641805951
metric_flops,XGBoost,5,2.1998774706697026,0.6680373908229734,0.9958600920644965
metric_flops,XGBoost,6,1.9041581683004025,0.6040495527503371,0.9969846842816608
metric_flops,XGBoost,7,3.3208717152750507,0.7890319065165303,0.9905904103904585
metric_flops,XGBoost,8,2.511253133338711,0.648713266489808,0.9941274018003909
metric_flops,XGBoost,9,2.5154749097519273,0.6280718493365142,0.9942093890749766
metric_flops,LightGBM,0,2.212783164586193,0.8483946796733444,0.995742509800462
metric_flops,LightGBM,1,2.2161882029579285,0.7841458109972215,0.9957953636630168
metric_flops,LightGBM,2,3.2742074766543414,0.9463256755182269,0.989945073756811
metric_flops,LightGBM,3,2.379755392164707,0.8319796330349292,0.9949890916107296
metric_flops,LightGBM,4,2.4755637614317596,0.8245465140562708,0.9949093180767068
metric_flops,LightGBM,5,2.1051452306783145,0.7506963679029142,0.9962089647365985
metric_flops,LightGBM,6,1.6269618134846573,0.7417964962933847,0.9977986886599197
metric_flops,LightGBM,7,2.866470525099744,0.9029765662466818,0.9929892990044102
metric_flops,LightGBM,8,2.3661966293650067,0.8304612133386758,0.994786240824949
metric_flops,LightGBM,9,2.304378830808629,0.7961930429325769,0.9951404935882727
metric_runtime,RandomForest,0,0.6900069353389626,0.5155753908447424,0.9804000329379937
metric_runtime,RandomForest,1,0.7035742664635035,0.5197746506037543,0.9800429890931273
metric_runtime,RandomForest,2,0.6607413360057899,0.5016351563499661,0.9807351705944996
metric_runtime,RandomForest,3,0.6729958074781657,0.5055367278831315,0.9806202271707006
metric_runtime,RandomForest,4,0.7121583580576939,0.5260549518046497,0.9796271265970999
metric_runtime,RandomForest,5,0.6834809133194414,0.5154713502951349,0.9812046208725839
metric_runtime,RandomForest,6,0.7287838181818773,0.5409002883888177,0.9786973784627544
metric_runtime,RandomForest,7,0.710380338319056,0.5303660228096464,0.9796292620896107
metric_runtime,RandomForest,8,0.7251861558252855,0.5411850976404181,0.9779003258502144
metric_runtime,RandomForest,9,0.6956803464956293,0.5211870891231333,0.9794255536681831
metric_runtime,GradientBoosting,0,0.38835374664056255,0.3057147162352632,0.9937912606443625
metric_runtime,GradientBoosting,1,0.3632373538131487,0.2858722113086569,0.9946806739925655
metric_runtime,GradientBoosting,2,0.3731374088521878,0.2943348984646236,0.9938561614298187
metric_runtime,GradientBoosting,3,0.37262246918550274,0.29649219959276973,0.9940589659264777
metric_runtime,GradientBoosting,4,0.37928737894842907,0.2974562125141243,0.9942212232314286
metric_runtime,GradientBoosting,5,0.3815340777715171,0.29687142241945397,0.9941431381962389
metric_runtime,GradientBoosting,6,0.38423087480452783,0.29752627729619396,0.9940786582265775
